id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
360830,Bystruška kožovitá,sk,"","",,Slovak,Fero Bednar,2017-06-29T19:44:38Z
362307,koník čiarkovaný,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:30:07Z
465461,koník fialovonohý,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:31:35Z
470524,koník červenokrídly,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:32:42Z
326052,koník modrokrídly,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:33:45Z
335580,koník bielopásy,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:35:12Z
423693,kobylka spevavá,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:37:37Z
55359,kobylka hnedkastá,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:38:26Z
473906,kobylka stromová,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:39:24Z
464211,koník ružovokrídly,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:40:36Z
113503,vážka tmavá,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:49:01Z
99901,šidielko krúžkované,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:52:14Z
61152,šidielko červené,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:53:15Z
109650,šidielko ploskonohé,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:54:06Z
51824,hadovka lesklá,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:55:27Z
61536,hadovka obyčajná,sk,"","",,Slovak,Fero Bednar,2017-07-18T08:56:06Z
121778,lovčík pobrežný,sk,"","",,Slovak,Fero Bednar,2017-07-26T11:00:37Z
458944,kobylôčka lúčna,sk,"","",,Slovak,Fero Bednar,2017-08-24T04:44:33Z
501625,koník dlhotykadlový,sk,"","",,Slovak,Fero Bednar,2017-08-30T18:19:13Z
563098,vážka ploská,sk,"","",,Slovak,Fero Bednar,2017-09-22T06:49:33Z
47434,lipnicovité,sk,"","",,Slovak,John E. Christensen,2017-11-29T09:55:49Z
47115,"Mäkkýše, molusky",sk,"","",,Slovak,John E. Christensen,2017-11-29T22:01:49Z
343021,Slepúch lámavý,sk,"","",,Slovak,John E. Christensen,2018-01-02T11:21:52Z
20978,Obojživelníky,sk,"","",,Slovak,John E. Christensen,2018-01-07T09:28:06Z
6888,Husotvaré,sk,"","",,Slovak,John E. Christensen,2018-01-25T15:54:16Z
56327,Rožteky,sk,"","",,Slovak,John E. Christensen,2018-01-31T14:14:59Z
5438,Zoborožcotvaré,sk,"","",,Slovak,John E. Christensen,2018-02-01T11:16:39Z
372739,Šesťnôžky,sk,"","",,Slovak,John E. Christensen,2018-03-07T09:48:40Z
61396,pamajorán obyčajný,sk,"","",,Slovak,John E. Christensen,2018-04-29T08:07:23Z
461061,potemník pieskový,sk,"","",,Slovak,Fero Bednar,2018-05-03T20:41:26Z
348689,obaľovač hrabankový,sk,"","",,Slovak,Fero Bednar,2018-05-03T20:46:40Z
56293,lišaj marinkový,sk,"","",,Slovak,Fero Bednar,2018-05-03T20:47:28Z
55750,kuklík potočný,sk,"","",,Slovak,John E. Christensen,2018-05-10T16:43:42Z
611272,cichlidka oranžová,sk,"","",,Slovak,Bobby McCabe,2018-05-31T19:34:08Z
58722,borovica lesná,sk,"","",,Slovak,Vitor C. Dias Gonçalves,2018-06-16T13:27:07Z
47375,borovicorasty,sk,"","",,Slovak,John E. Christensen,2018-08-12T07:05:57Z
64615,Pečeňovky,sk,"","",,Slovak,John E. Christensen,2018-09-03T15:05:25Z
100257,pasliznatka mnohozubá,sk,"","",,Slovak,Bobby McCabe,2018-10-08T03:30:11Z
41789,Jazvec,sk,"","",,Slovak,John E. Christensen,2018-11-14T10:02:42Z
41663,Medviedik čistotný,sk,"","",,Slovak,John E. Christensen,2018-11-14T10:16:31Z
56235,horec,sk,"","",,Slovak,John E. Christensen,2018-12-02T14:38:44Z
210289,Fúzonôžky,sk,"","",,Slovak,John E. Christensen,2019-02-10T11:06:29Z
48486,Lienkovité,sk,"","",,Slovak,John E. Christensen,2019-02-25T19:07:03Z
7251,Vrabcotvaré,sk,"","",,Slovak,John E. Christensen,2019-03-02T10:06:15Z
3731,lyžičiar biely,sk,Slovakia,SK,,Slovak,jarica,2019-04-21T18:21:04Z
13988,vrchárka modrá,sk,Slovakia,SK,,Slovak,jarica,2019-04-21T18:24:39Z
17871,ďateľ veľký,sk,Slovakia,SK,,Slovak,jarica,2019-04-21T18:28:07Z
7450,kôrovník dlhoprstý,sk,Slovakia,SK,,Slovak,jarica,2019-04-21T18:37:58Z
13094,červienka obyčajná,sk,Slovakia,SK,,Slovak,jarica,2019-04-21T18:51:22Z
13000,žltochvost domový,sk,Slovakia,SK,,Slovak,jarica,2019-04-21T18:54:01Z
203153,sýkorka veľká,sk,Slovakia,SK,,Slovak,jarica,2019-04-21T18:56:31Z
144849,sýkorka belasá,sk,Slovakia,SK,,Slovak,jarica,2019-04-21T18:58:53Z
13858,vrabec domový,sk,Slovakia,SK,,Slovak,jarica,2019-04-21T19:01:30Z
42347,kamzík vrchovský,sk,Slovakia,SK,,Slovak,jarica,2019-04-21T19:06:25Z
47584,Lastúrniky,sk,"","",,Slovak,John E. Christensen,2019-05-21T07:22:33Z
61267,Bzdochy,sk,"","",,Slovak,John E. Christensen,2019-06-13T09:01:10Z
