commonNameSBM,scientificNameSBM_1,scientificNameSBM_2,note
slanorožec západný,,,"Allenrolfea occidentalis podla tabulky, ale v SBM knihe to vobec nevidim, ani v SBM databaze"
aloa škvrnitá,Aloe zebrina,Aloe maculata,
loboda stopkatá,Atriplex pedunculata,Halimione pedunculata,v SBM knihe aj databaze je iba Halimione pedunculata
bambus obyčajný,Bambusa vulgaris,Gigantochloa apus,
dráč úzkolistý,Berberis lycium,Berberis ×stenophylla,
zanoväť huňatá,Calicotome villosa,Cytisus villosus,
hikélia madagaskarská,Cathariostachys madagascariensis,Hickelia madagascariensis,
astra rozložitá,Chiliotrichum diffusum,Symphyotrichum ×tardiflorum,
osmunda Claytonova,Claytosmunda claytoniana,Osmunda claytoniana,
blankytník trávolistý,Edraianthus graminifolius,Edraianthus tenuifolius,
mliečnik rozprestretý,Euphorbia humifusa,Euphorbia prostrata,
mliečnik trojhranný,Euphorbia triangularis,Euphorbia trigona,
garcínia farbiarska,Garcinia cambogioides,Garcinia xanthochymus,
pakost hľuznatý,Geranium nodosum,Geranium tuberosum,
mečík dlhorúrkový,Gladiolus engysiphon,Gladiolus longicollis,
jastrabník sivý,Hieracium caesium,Hieracium glaucum,
ometlina štíhla pravá,Koeleria macrantha subsp. macrantha,Koeleria macrantha var. macrantha,
marsilea srstnatá,Marsilea hirsuta,Marsilea strigosa,
bledavka úzkolistá,Ornithogalum angustifolium,Ornithogalum orthophyllum,
paštrnák siaty pravý,Pastinaca sativa subsp. sativa,Pastinaca sativa var. sativa,v SBM knihe je iba Pastinaca sativa subsp. sativa a v SBM databaze su oba
iskerník trojdielny,Ranunculus pseudoaemulans,Ranunculus tripartitus ,
rododendron hrdzavý,Rhododendron ferrugineum,Rhododendron rufum,
romulea Columnova,Romulea columnae,Ruppia cirrhosa,v SBM knihe aj databaze zas prekvapivo nie je ani jedno z mien
ostružina žliazkatá,Rubus adenophorus,Rubus glandulosus,
ostružina ostnatá,Rubus acanthodes,Rubus senticosus,
ostružina zárezovolistá,Rubus fissus,Rubus scissus,
púpava pekná,Taraxacum subelegantissimum,Taraxacum bellum,
púpava panónska,Taraxacum pseudobalticum,Taraxacum pannonicum,
ľuľok paprikovitý,Solanum capsicoides,Solanum pseudocapsicum,
fialka krovisková pravá,Viola suavis subsp. suavis,Viola suavis var. suavis,v SBM knihe je iba Viola suavis var. suavis a v SBM databaze su oba
