
sciName,commonNameSBM,commonNameINat,differenceCategory
Circaeasteraceae,čarovnicovité,Čarovkovité,proper
Abies balsamea,jedľa balzamová,Jedla Balzamová,diacritics
Acer saccharum,javor cukrodarný,Acer saccharum,proper
Achillea filipendulina,rebríček túžobníkovitý,Rebríček Túžobníkový,proper
Achillea ptarmica,rebríček bertramový,Rebríček Bertrámový,diacritics
Aconitum napellus,prilbica modrá,Prilbica Tuhá,proper
Actaea,"samorastlík, ploštičník",Samorastlík,proper
Aegopodium podagraria,kozia noha hostcová,Kozonoha Hostcová,proper
Agropyron cristatum,žitniak hrebenatý,Žitniak Hrebenitý,proper
Alchemilla subconnivens,alchemilka jemnozubá,Alchemilka Uzavretá,proper
Alchemilla taurica,alchemilka krymská,Alchemilka Vejárovitá,proper
Allium amethystinum,cesnak ametystový,Allium amethystinum,proper
Allium ampeloprasum,pór divý,Allium ampeloprasum,proper
Allium carinatum,cesnak kýlnatý,Cesnak Člnkovitý,proper
Allium porrum,pór pestovaný,Pór Záhradný,proper
Allium schoenoprasum,pažítka jedlá,Cesnak Pažítkový,proper
Allium scorodoprasum,cesnak pórolistý,Allium scorodoprasum,proper
Allium scorodoprasum,cesnak pórolistý,Cesnak Orešcový,proper
Allium,"cesnak, cibuľa, pažítka, pór",Cesnak,proper
Aloe perfoliata,aloa sutinová,Aloe perfoliata,proper
Althaea narbonensis,ibiš narbonský,Ibiš Konopný,proper
Amaranthus hybridus,láskavec hybridný,Amaranthus hybridus,proper
Amaranthus patulus,láskavec rozložitý,Láskavec Hybridný,proper
Amaranthus retroflexus,láskavec srstnatý,Láskavec Ohnutý,proper
Amaranthus vulgatissimus,láskavec najobyčajnejší,Láskavec Standleyho,proper
Amelanchier canadensis,muchovník kanadský,Amelanchier canadensis,proper
Amelanchier sanguinea,muchovník krvavý,Amelanchier sanguinea,proper
Amelanchier spicata,muchovník klasnatý,Amelanchier spicata,proper
Anacamptis morio,červenohlav obyčajný,Vstavač Obyčajný,proper
Anacamptis palustris,červenohlav močiarny,Vstavač Močiarny,proper
Androcymbium melanthioides,jesienka kýchavicovitá,Jesienka Kýchavičníkovitá,proper
Androsace lactea,pochybok mliečny,Pochybok Biely,proper
Anemone blanda,veternica vábivá,Veternica Vznešená,proper
Anemone hupehensis,veternica chupejská,Veternica Hupehenská,proper
Anthemis ruthenica,ruman ruténsky,Ruman Rusínsky,proper
Aporocactus flagelliformis,bičovec obyčajný,Aporokaktus Šľahúňovitý,proper
Arabidopsis arenosa,arábkovka piesočná,Žerušničník Piesočný,proper
Arabidopsis,arábkovka,Arábovka,proper
Aralia nudicaulis,aralka holá,Aralka Srdcovitá,proper
Aremonia,repíček,Repík,proper
Artemisia repens,palina plazivá,Palina Rakúska,proper
Arum cylindraceum,áron valcovitý,Áron Alpínsky,proper
Asplenium cuneifolium,slezinník klinovitolistý,Slezinník Klinovolistý,proper
Asplenium scolopendrium,slezinník celistvolistý,Jelení Jazyk Celolistý,proper
Asplenium trichomanes,slezinník černastý,Slezinník Červený,proper
Austrobaileyaceae,austrobeiliovité,Austrobejliovité,proper
Bambusa spinosa,bambus tŕnitý,Bambus Trsťovitý,proper
Begonia fuchsioides,begónia fuchsiovitá,Begónia Listnatá,proper
Berberis chitria,dráč lekársky,Dráč Ostitý,proper
Berberis julianae,dráč Julianin,Dráč Júliin,proper
Berberis poiretii,dráč Poiretov,Dráč Čínsky,proper
Betula lenta,breza cukrová,Breza Tuhá,proper
Betula oycoviensis,breza ojcowská,Breza Ojcovská,proper
Betula papyrifera,breza papierovitá,Breza Papierová,proper
Betula pubescens,breza páperistá,Breza Plstnatá,proper
Bolboschoenus laticarpus,šarina širokoplodá,Šašina,proper
Briza media,traslica prostredná,Kraslica Prostredná,proper
Buddleja davidii,budleja Davidova,Budleja Dávidova,diacritics
Buphthalmum salicifolium,volské oko vŕbolisté,Volovec Vŕbolistý,proper
Bupleurum affine,prerastlík príbuzný,Prerastlík Prútnatý,proper
Campanula cervicaria,zvonček hrdlohojivý,Zvonček Lekársky,proper
Capsella bursa-pastoris,pastierska kapsička obyčajná,Kapsička Pastierska,proper
Caragana arborescens,karagana stromčekovitá,Karagana Stromovitá,proper
Cardamine enneaphyllos,zubačka deväťlístková,Zubačka Deväťlistá,proper
Carduus acanthoides,bodliak ostnatý,Bodliak Obyčajný,proper
Carex cespitosa,ostrica trsnatá,Ostrica Trstnatá,proper
Carex digitata,ostrica prstovitá,Ostrica Prstnatá,proper
Carex hartmaniorum,ostrica Hartmannovcov,Ostrica Hartmanova,proper
Carex humilis,ostrica nízka,Ostrica Trstnatá,proper
Carex polyphylla,ostrica mnoholistá,Ostrica Leersova,proper
Carex strigosa,ostrica štíhloklásková,Ostrica Hrebienkatá,proper
Carex vesicaria,ostrica mechúrikatá,Ostrica Pľuzgierkatá,proper
Caryophyllaceae,klinčekovité,Silenkovité,proper
Casimiroa sapota,kazimiroa sapotová,Kazimiroa Jedlá,proper
Catalpa fargesii,katalpa Fargesova,Katalpa Bungeho,proper
Catalpa speciosa,katalpa nádherná,Katalpa Úhľadná,proper
Cedrus atlantica,céder atlaský,Céder Atlantský,proper
Cenchrus purpurascens,ostroklas purpurový,Ostroklas Psiarkovitý,proper
Centaurea phrygia,nevädza frygická,Nevädzovec Frygický,proper
Centaurea stoebe,nevädza porýnska,Nevädzka Porýnska,proper
Centaurium erythraea,zemežlč lekárska,Zemežlč Menšia,proper
Cephalanthera longifolia,vtáčia prilba dlholistá,Prilbovka Dlholistá,proper
Cerastium holosteoides,rožec lúčny,Rožec Obyčajný,proper
Ceratophyllum demersum,rožkatec potopený,Rožkatec Ponorený,proper
Ceroxylon,voskovník,Voškovník,diacritics
Chamaecereus,fakľovček,Ježovník,proper
Chenopodium betaceum,mrlík cviklový,Mrlík Tuhý,proper
Chenopodium probstii,mrlík Probstov,Mrlík Biely,proper
Cimicifuga,ploštičník,Samorastlík,proper
Circaea lutetiana,čarovník parížsky,Čarovník Obyčajný,proper
Cirsium eriophorum,pichliač bielohlavý,Pichliač Belohlavý,proper
Citrus trifoliata,citrónovník trojlístkový,Citrónovníkovec Trojlistý,proper
Clematis flammula,plamienok stredomorský,Plamienok Pálčivý,proper
Clinopodium acinos,marulka roľná,Dušovka Roľná,proper
Clinopodium vulgare,marulka obyčajná,Jarva Obyčajná,proper
Cochlospermum malvifolium,bavlnovec slezolistý,Amoruxia Slezolistá,proper
Cochlospermum,bavlnovec,Amoruxia,proper
Colchicum montanum,jesienka horská,Jesienka Jarná Pestrofarebná,proper
Colutea arborescens,mechúrnik stromčekovitý,Mechúrnik Stromovitý,proper
Colymbada scabiosa,nevädza hlaváčovitá,Nevädzník Hlaváčovitý,proper
Conophytum concordans,kužeľovec svorný,Kužeľovec Carlov,proper
Consolida ajacis,ostrôžka Ajaxova,Ostrôžka Záhradná,proper
Coreopsis tinctoria,kráska farbiarska,Krásnoočko Farbiarske,proper
Cortusa matthioli,kortúza Matthioliho,Kortúza Mattioliho,proper
Cota austriaca,ruman rakúsky,Rumanovec Rakúsky,proper
Cota tinctoria,ruman farbiarsky,Rumanovec Farbiarsky,proper
Degeneriaceae,degenériovité,Degeneriovité,diacritics
Dieffenbachia seguine,dífenbachia škvrnitá,Difenbachia Škvrnitá,diacritics
Dieffenbachia,dífenbachia,Difenbachia,diacritics
Dipsacus laciniatus,štetka úkrojkatá,Štetka Laločnatá,proper
Dipsacus strigosus,štetka štetinatá,Štetôčka Srstnatá,proper
Doronicum clusii,kamzičník Clusiov,Kamzičník Chlpatý,proper
Draba fladnizensis,chudôbka flattnitzská,Chudôbka Bledožltá,proper
Draba spathulata,chudôbka guľatoplodá,Chudôbka Jarná,proper
Dracaena,"dracéna, sansevieria",Dracéna,proper
Dryopteris carthusiana,papraď ostníkatá,Papraď Ostnatá,proper
Dryopteris cristata,papraď hrebienkatá,Papraď Hrebenatá,proper
Duvalia caespitosa,duvalia trsnatá,Duvalia Trstnatá,proper
Echinochloa crus-galli,ježatka kuria noha,Ježatka Kuria,proper
Echinopsis tubiflora,ježovník rúrkokvetý,Ježovník Ostrorebrový,proper
Elettariopsis smithiae,kardamómovec Smithovej,Amóm Smithovej,proper
Elodea,vodomor,Vodomorec,proper
Epilobium adenocaulon,vŕbovka žliazkatochlpatá,Vŕbovka Brvitá,proper
Epimedium pinnatum,krpčiarka perovitá,Krpčiarka Kolchidská,proper
Epipactis pseudopurpurata,kruštík útly,Kruštík Modrofialový,proper
Equisetum hyemale,praslička zimná,Prasličkovka Zimná,proper
Equisetum ramosissimum,praslička konáristá,Prasličkovka Konáristá,proper
Equisetum telmateia,praslička mohutná,Praslička Obrovská,proper
Equisetum variegatum,praslička pestrá,Prasličkovka Pestrá,proper
Eragrostis suaveolens,milota príjemná,Milota Lipnicovitá,proper
Eremanthus,pustovník,Púšťovník,diacritics
Erica carnea,vresovec bylinný,Vresovec Mäsový,proper
Erigeron annuus,turica ročná,Hviezdnik Ročný,proper
