sciName,commonNameSBM,commonNameINat,differenceCategory
Circaeasteraceae,čarovnicovité,Čarovkovité,proper
Abies balsamea,jedľa balzamová,Jedla Balzamová,diacritics
Actaea,"samorastlík, ploštičník",Samorastlík,proper
Aegopodium podagraria,kozia noha hostcová,Kozonoha Hostcová,proper
Allium scorodoprasum,cesnak pórolistý,Cesnak Orešcový,proper
Amaranthus retroflexus,láskavec srstnatý,Láskavec Ohnutý,proper
Anacamptis morio,červenohlav obyčajný,Vstavač Obyčajný,proper
Anacamptis palustris,červenohlav močiarny,Vstavač Močiarny,proper
Androcymbium melanthioides,jesienka kýchavicovitá,Jesienka Kýchavičníkovitá,proper
Androsace lactea,pochybok mliečny,Pochybok Biely,proper
Anemone hupehensis,veternica chupejská,Veternica Hupehenská,proper
Anthemis ruthenica,ruman ruténsky,Ruman Rusínsky,proper
Aporocactus flagelliformis,bičovec obyčajný,Aporokaktus Šľahúňovitý,proper
Arabidopsis arenosa,arábkovka piesočná,Žerušničník Piesočný,proper
Arum cylindraceum,áron valcovitý,Áron Alpínsky,proper
Asplenium cuneifolium,slezinník klinovitolistý,Slezinník Klinovolistý,proper
Asplenium scolopendrium,slezinník celistvolistý,Jelení Jazyk Celolistý,proper
Asplenium trichomanes,slezinník černastý,Slezinník Červený,proper
Austrobaileyaceae,austrobeiliovité,Austrobejliovité,proper
Berberis julianae,dráč Julianin,Dráč Júliin,proper
Betula lenta,breza cukrová,Breza Tuhá,proper
Betula oycoviensis,breza ojcowská,Breza Ojcovská,proper
Betula papyrifera,breza papierovitá,Breza Papierová,proper
Betula pubescens,breza páperistá,Breza Plstnatá,proper
Bolboschoenus laticarpus,šarina širokoplodá,Šašina,proper
Briza media,traslica prostredná,Kraslica Prostredná,proper
Buphthalmum salicifolium,volské oko vŕbolisté,Volovec Vŕbolistý,proper
Bupleurum affine,prerastlík príbuzný,Prerastlík Prútnatý,proper
Capsella bursa-pastoris,pastierska kapsička obyčajná,Kapsička Pastierska,proper
Caragana arborescens,karagana stromčekovitá,Karagana Stromovitá,proper
Cardamine enneaphyllos,zubačka deväťlístková,Zubačka Deväťlistá,proper
Carduus acanthoides,bodliak ostnatý,Bodliak Obyčajný,proper
Carex cespitosa,ostrica trsnatá,Ostrica Trstnatá,proper
Carex digitata,ostrica prstovitá,Ostrica Prstnatá,proper
Carex humilis,ostrica nízka,Ostrica Trstnatá,proper
Carex strigosa,ostrica štíhloklásková,Ostrica Hrebienkatá,proper
Carex vesicaria,ostrica mechúrikatá,Ostrica Pľuzgierkatá,proper
Caryophyllaceae,klinčekovité,Silenkovité,proper
Casimiroa sapota,kazimiroa sapotová,Kazimiroa Jedlá,proper
Catalpa fargesii,katalpa Fargesova,Katalpa Bungeho,proper
Catalpa speciosa,katalpa nádherná,Katalpa Úhľadná,proper
Cedrus atlantica,céder atlaský,Céder Atlantský,proper
Cenchrus purpurascens,ostroklas purpurový,Ostroklas Psiarkovitý,proper
Centaurea phrygia,nevädza frýgická,Nevädzovec Frygický,proper
Centaurium erythraea,zemežlč lekárska,Zemežlč Menšia,proper
Cephalanthera longifolia,vtáčia prilba dlholistá,Prilbovka Dlholistá,proper
Cerastium holosteoides,rožec lúčny,Rožec Obyčajný,proper
Ceratophyllum demersum,rožkatec potopený,Rožkatec Ponorený,proper
Chamaecereus,fakľovček,Ježovník,proper
Chenopodium betaceum,mrlík cviklový,Mrlík Tuhý,proper
Chenopodium probstii,mrlík Probstov,Mrlík Biely,proper
Cimicifuga,ploštičník,Samorastlík,proper
Circaea lutetiana,čarovník parížsky,Čarovník Obyčajný,proper
Cirsium eriophorum,pichliač bielohlavý,Pichliač Belohlavý,proper
Clematis flammula,plamienok stredomorský,Plamienok Pálčivý,proper
Clinopodium acinos,marulka roľná,Dušovka Roľná,proper
Clinopodium vulgare,marulka obyčajná,Jarva Obyčajná,proper
Colchicum montanum,jesienka horská,Jesienka Jarná Pestrofarebná,proper
Conophytum concordans,kužeľovec svorný,Kužeľovec Carlov,proper
Consolida ajacis,ostrôžka Ajaxova,Ostrôžka Záhradná,proper
Cota austriaca,ruman rakúsky,Rumanovec Rakúsky,proper
Degeneriaceae,degenériovité,Degeneriovité,diacritics
Dieffenbachia seguine,dífenbachia škvrnitá,Difenbachia Škvrnitá,diacritics
Dieffenbachia,dífenbachia,Difenbachia,diacritics
Dipsacus laciniatus,štetka úkrojkatá,Štetka Laločnatá,proper
Draba fladnizensis,chudôbka flattnitzská,Chudôbka Bledožltá,proper
Draba spathulata,chudôbka guľatoplodá,Chudôbka Jarná,proper
Dracaena,"dracéna, sansevieria",Dracéna,proper
Dryopteris carthusiana,papraď ostníkatá,Papraď Ostnatá,proper
Dryopteris cristata,papraď hrebienkatá,Papraď Hrebenatá,proper
Duvalia caespitosa,duvalia trsnatá,Duvalia Trstnatá,proper
Echinochloa crus-galli,ježatka kuria noha,Ježatka Kuria,proper
Echinopsis tubiflora,ježovník rúrkokvetý,Ježovník Ostrorebrový,proper
Elodea,vodomor,Vodomorec,proper
Epilobium adenocaulon,vŕbovka žliazkatochlpatá,Vŕbovka Brvitá,proper
Epimedium pinnatum,krpčiarka perovitá,Krpčiarka Kolchidská,proper
Epipactis pseudopurpurata,kruštík útly,Kruštík Modrofialový,proper
Equisetum hyemale,praslička zimná,Prasličkovka Zimná,proper
Equisetum ramosissimum,praslička konáristá,Prasličkovka Konáristá,proper
Equisetum telmateia,praslička mohutná,Praslička Obrovská,proper
Equisetum variegatum,praslička pestrá,Prasličkovka Pestrá,proper
Eragrostis suaveolens,milota príjemná,Milota Lipnicovitá,proper
Erica carnea,vresovec bylinný,Vresovec Mäsový,proper
Erigeron annuus,turica ročná,Hviezdnik Ročný,proper
Erysimum pieninicum,horčičník pieninský,Horčičník Karpatský,proper
Erysimum virgatum,horčičník prútnatý,Horčičník Tvrdý,proper
Erysimum wahlenbergii,horčičník Wahlenbergov,Horčičník Karpatský,proper
Euphorbia amygdaloides,mliečnik mandľovitý,Mliečnik Mandľolistý,proper
Euphorbia helioscopia,mliečnik slnovratový,Mliečnik Kolovratcový,proper
Euphrasia officinalis,očianka lekárska,Očianka Rostkovova,proper
Falcataria moluccana,falkatária molucká,Falkatária Kosákovitá,proper
Ferula ammoniacum,feruľa čpavková,Čpavkovec Obyčajný,proper
Fragaria viridis,jahoda zelená,Jahoda Trávnicová,proper
Galatella linosyris,astra zlatovlasá,Zlatovlások Obyčajný,proper
Galeobdolon luteum,hluchavník žltý,Hluchavka Žltá,proper
Galinsoga parviflora,žltnica maloúborová,Žltnica Drobnokvetá,proper
Galinsoga quadriradiata,žltnica pŕhľavolistá,Žltnica Štvorlúčová,proper
Galium odoratum,lipkavec voňavý,Lipkavec Marinkový,proper
Galium verum,lipkavec syridlový,Lipkavec Pravý,proper
Gentianaceae,horcovité,Horec,proper
Gentianopsis ciliata,horcovec brvitý,Pahorec Brvitý,proper
Geranium sanguineum,pakost krvavý,Pakosť Krvavý,diacritics
Gladiolus imbricatus,mečík škridlicovitý,Mečík Strechovitý,proper
Gleicheniaceae,gleichéniovité,Glejchéniovité,proper
Heptapleurum arboricola,dáždnikovník stromčekovitý,Šeflera Stromovitá,proper
Hesperocyparis lusitanica,cyprus biely,Cyprus Portugalský,proper
Hexachlamys edulis,broskyňovec jedlý,Eugénia Myrciokvetá,proper
Hylotelephium jullianum,rozchodníkovec hustolistý,Rozchodníkovec Purpurový,proper
Hypericum elegans,ľubovník úhľadný,Ľubovník Ozdobný,proper
Hypochaeris radicata,prasatník korenatý,Prasatník Krátkokoreňový,proper
Isatis tinctoria,farbovník obyčajný,Farbovník Poľný,proper
Jovibarba globifera,skalničník guľkovitý,Skalničník Výhonkatý,proper
Kobresia,turička,Ostrica,proper
Lamium purpureum,hluchavka purpurová,Hluchavka Nachová,proper
Lens,šošovica,Vika,proper
Leopoldia comosa,modrica chochlatá,Leopoldia Chochlatá,proper
Lepidium draba,žerucha jarná,Vesnovka Obyčajná,proper
Lewisia serrata,levízia pílkovitá,Levízia Cantelowej,proper
Ligustrum vulgare,vtáčí zob obyčajný,Vtáčí Zob,proper
Lupinus mexicanus,vlčí bôb mexický,Vlčí Bôb Ehrenbergov,proper
Lupinus polyphyllus,vlčí bôb mnoholístkový,Lupina Mnoholistá,proper
Lycopodium alpinum,plavúň alpínsky,Plavúnik Alpínsky,proper
Lycopodium complanatum,plavúň sploštený,Plavúnik Sploštený,proper
Lycopodium issleri,plavúň Isslerov,Plavúnik Isslerov,proper
Maclura pomifera,maklura oranžová,Maklúra Pomarančová,proper
Magnolia obovata,magnólia obrátenovajcovitá,Magnólia Vajcovitolistá,proper
Mahonia,mahónia,Dráč,proper
Maianthemum bifolium,tôňovka dvojlistá,Tôňovka Dvojllistá,proper
Malus pumila,jabloň obyčajná,Jabloň Domáca,proper
Malva verticillata,slez praslenatý,Slez Kučeravý,proper
Mangifera laurina,mangovník vavrínový,Mangovník Indický,proper
Melampyrum cristatum,čermeľ hrebienkatý,Čermeľ Hrebenitý,proper
