rank,sciName
family,Coriaraceae
family,Lecithydaceae
family,Pentaphragmaceae
family,Stegnospermaceae
form,Iresine diffusa lindenii
form,Salix × salamonii erythroflexuosa
form,Salix × salamonii salamonii
form,Salix triandra glaucophylla
form,Salix triandra triandra
form,Selenicereus pteranthus macdonaldiae
genus,Allophyllus
genus,Aloe
genus,Arachnioides
genus,Bellidiastrum
genus,Bergera
genus,Boldoa
genus,Brunnicha
genus,Buchozia
genus,Codonorchis
genus,Colymbada
genus,Dinoseris
genus,Diplarrhena
genus,Eriolaryx
genus,Escallonia
genus,Fourraea
genus,Grilicidia
genus,Hilliella
genus,Hippophaë
genus,Horminium
genus,Hudsonia
genus,Ixioliron
genus,Jancaea
genus,Kielmayera
genus,Kniphofia
genus,Kuloa
genus,Laccospadis
genus,Lueddemania
genus,Melia
genus,Mora
genus,Phyllotaenium
genus,Pyrocydonia
genus,Regnellidium
genus,Rhaphidophyllum
genus,Sedobassia
genus,Smithia
genus,Tetraena
genus,Thouinia
genushybrid,Angulocaste
genushybrid,Cephalopactis
genushybrid,Cephalopactis hybrida
genushybrid,Keferanthes
genushybrid,Mahoberberis
genushybrid,Mahoberberis neubertii
genushybrid,Odontioda
genushybrid,Oncidopsis
genushybrid,Oncostele
genushybrid,Pyronia
genushybrid,Pyronia veitchi
genushybrid,Sorbopyrus
genushybrid,Staparesia
genushybrid,Staparesia meintjesii
genushybrid,Tritordeum
genushybrid,Tritordeum martinii
group,Avena sativa Contracta
group,Avena sativa Sativa
group,Beta vulgaris Altissima
group,Beta vulgaris Conditiva
group,Beta vulgaris Crassa
group,Cichorium endivia Endivia
group,Cichorium endivia Eskariol
group,Fittonia albivenis Argyroneura
group,Fittonia albivenis Verschaffeltii
group,Hordeum vulgare Hexastichon
group,Hordeum vulgare Tetrastichon
group,Lactuca sativa Acephala
group,Lactuca sativa Angustana
group,Lactuca sativa Capitata
group,Lactuca sativa Crispa
group,Oryza sativa Indica
group,Panicum miliaceum Compactum
group,Panicum miliaceum Contractum
group,Panicum miliaceum Effusum
group,Petroselinum crispum Neapolitanum
group,Petroselinum crispum Radicosum
group,Raphanus sativus Hybernus
group,Raphanus sativus Oleifera
group,Sorghum bicolor Saccharatum
group,Sorghum bicolor Technicum
group,Triticum aestivum Sphaerococcum
group,Triticum aestivum Vavilovii
group,Triticum turgidum Carthlicum
group,Triticum turgidum Dicoccon
group,Triticum turgidum Turanicum
group,Triticum turgidum Turgidum
group,Zea mays mays Amylacea
group,Zea mays mays Aorista
group,Zea mays mays Ceratina
group,Zea mays mays Dentiformis
group,Zea mays mays Indurata
group,Zea mays mays Microsperma
group,Zea mays mays Saccharata
group,Zea mays mays Tunicata
hybrid,Amelosorbus
hybrid,Amelosorbus jackii
hybrid,Abies × insignis
hybrid,Abies × vilmorinii
hybrid,Achillea × kellereri
hybrid,Achimenes × hybrida
hybrid,Alocasia × mortfontanensis
hybrid,Amaranthus × soproniensis
hybrid,Anemone × lesseri
hybrid,Anthurium × ferrierense
hybrid,Anthurium × hortulanum
hybrid,Arabis × arendsii
hybrid,Arabis × wilczekii
hybrid,Argyroderma × octophyllum
hybrid,Astilbe × crispa
hybrid,Avena × vilis
hybrid,Barbarea × schulzeana
hybrid,Begonia × credneri
hybrid,Begonia × hortensis
hybrid,Berberis × chenaultii
hybrid,Berberis × emarginata
hybrid,Berberis × frikartii
hybrid,Berberis × mentorensis
hybrid,Berberis × notabilis
hybrid,Berberis × vanfleetii
hybrid,Bergenia × hybrida
hybrid,Bertolonia × houtteana
hybrid,Caragana × sophorifolia
hybrid,Ceanothus × pallidus
hybrid,Centaurium × aschersonianum
hybrid,Citrus × nobilis
hybrid,Clematis × aromatica
hybrid,Clematis × divaricata
hybrid,Clematis × jouiniana
hybrid,Clinopodium × mixtum
hybrid,Coffea × mixta
hybrid,Columnea × banksii
hybrid,Corylus × vilmorinii
hybrid,Dieffenbachia × bausei
hybrid,Diervilla × splendens
hybrid,Digitalis × fulva
hybrid,Disocactus × hybridus
hybrid,Eranthis × tubergenii
hybrid,Eremurus × isabellinus
hybrid,Erica × hiemalis
hybrid,Eryngium × oliverianum
hybrid,Escallonia × langleyensis
hybrid,Festuca × interjecta
hybrid,Festuca × vihorlatica
hybrid,Filago × mixta
hybrid,Genista × fritschii
hybrid,Geum × rhaeticum
hybrid,Haworthiopsis × tortuosa
hybrid,Helenium × clementii
hybrid,Helianthemum × hybridum
