sciName,rank,matches
Acalypha pendula,species,"[('Acalypha herzogiana', 'Acalypha pendula', 'species'), ('Acalypha pendula', 'species')]"
Acanthus arboreus,species,"[('Acanthus polystachyus', 'Acanthus arboreus', 'species'), ('Acanthus arboreus', 'species')]"
Aerva,genus,"[('Ouret', 'Aerva', 'genus'), ('Aerva', 'genus')]"
Agrimonia procera,species,"[('Agrimonia procera', 'species'), ('Agrimonia bracteata', 'Agrimonia procera', 'species')]"
Arachis pusilla,species,"[('Arachis pusilla', 'species'), ('Arachis triseminata', 'Arachis pusilla', 'species'), ('Arachis martii', 'Arachis pusilla', 'species')]"
Aristolochia grandiflora,species,"[('Aristolochia grandiflora', 'species'), ('Aristolochia ringens', 'Aristolochia grandiflora', 'species')]"
Bauhinia tomentosa,species,"[('Bauhinia tomentosa', 'species'), ('Schnella microstachya', 'Bauhinia tomentosa', 'species')]"
Begonia fischeri,species,"[('Begonia fischeri', 'species'), ('Begonia dietrichiana', 'Begonia fischeri', 'species')]"
Bergera,genus,"[('Bergera', 'genus'), ('Trichomanes', 'Bergera', 'genus')]"
Brunfelsia latifolia,species,"[('Brunfelsia americana', 'Brunfelsia latifolia', 'species'), ('Brunfelsia latifolia', 'species')]"
Callicarpa acuminata,species,"[('Callicarpa acuminata', 'species'), ('Callicarpa nudiflora', 'Callicarpa acuminata', 'species')]"
Cestrum parqui,species,"[('Cestrum parqui', 'species'), ('Cestrum thyrsoideum', 'Cestrum parqui', 'species')]"
Convolvulus cneorum,species,"[('Convolvulus cneorum', 'species'), ('Convolvulus lanatus', 'Convolvulus cneorum', 'species')]"
Convolvulus lanuginosus,species,"[('Convolvulus lanuginosus', 'species'), ('Convolvulus betonicifolius', 'Convolvulus lanuginosus', 'species')]"
Dichondra repens,species,"[('Dichondra repens', 'species'), ('Dichondra micrantha', 'Dichondra repens', 'species')]"
Drimia indica,species,"[('Drimia indica', 'species'), ('Drimia zambesiaca', 'Drimia indica', 'species')]"
Echium albicans,species,"[('Echium albicans', 'species'), ('Echium boissieri', 'Echium albicans', 'species')]"
Elymus trachycaulus,species,"[('Elymus trachycaulus', 'species'), ('Elymus violaceus', 'Elymus trachycaulus', 'species')]"
Erigeron macrophyllus,species,"[('Erigeron droebachensis', 'Erigeron macrophyllus', 'species'), ('Conyza macrophylla', 'Erigeron macrophyllus', 'species')]"
Erycibe paniculata,species,"[('Erycibe paniculata', 'species'), ('Erycibe elliptilimba', 'Erycibe paniculata', 'species')]"
Erythrina corallodendron,species,"[('Erythrina variegata', 'Erythrina corallodendron', 'species'), ('Erythrina corallodendron', 'species')]"
Erythrina corallodendron,species,"[('Erythrina variegata', 'Erythrina corallodendron', 'species'), ('Erythrina corallodendron', 'species')]"
Escallonia,genus,"[('Dichondra', 'Escallonia', 'genus'), ('Escallonia', 'genus')]"
Euphorbia fimbriata,species,"[('Euphorbia mammillaris', 'Euphorbia fimbriata', 'species'), ('Euphorbia nesemannii', 'Euphorbia fimbriata', 'species')]"
Euphrasia officinalis rostkoviana,subspecies,"[('Euphrasia officinalis officinalis', 'Euphrasia officinalis rostkoviana', 'subspecies'), ('Euphrasia officinalis pratensis', 'Euphrasia officinalis rostkoviana', 'subspecies')]"
Ficus binnendijkii,species,"[('Ficus maclellandii', 'Ficus binnendijkii', 'species'), ('Ficus binnendykii', 'Ficus binnendijkii', 'species')]"
Fourraea,genus,"[('Turritis', 'Fourraea', 'genus'), ('Fourraea', 'genus')]"
Gentiana lutea,species,"[('Gentiana lutea', 'species'), ('Gentianella incurva', 'Gentiana lutea', 'species')]"
Geophila repens,species,"[('Geophila herbacea', 'Geophila repens', 'species'), ('Geophila repens', 'species')]"
Gladiolus crassifolius,species,"[('Gladiolus crassifolius', 'species'), ('Gladiolus paludosus', 'Gladiolus crassifolius', 'species')]"
Hudsonia,genus,"[('Terminalia', 'Hudsonia', 'genus'), ('Hudsonia', 'genus')]"
Inga capitata,species,"[('Inga capitata', 'species'), ('Jupunba laeta', 'Inga capitata', 'species')]"
Kniphofia,genus,"[('Terminalia', 'Kniphofia', 'genus'), ('Kniphofia', 'genus')]"
Maesa lanceolata,species,"[('Maesa lanceolata', 'species'), ('Maesa ramentacea', 'Maesa lanceolata', 'species')]"
Marsdenia tinctoria,species,"[('Marsdenia tinctoria', 'species'), ('Dischidanthus thyrsiflorus', 'Marsdenia tinctoria', 'species')]"
Melia,genus,"[('Plumeria', 'Melia', 'genus'), ('Melia', 'genus')]"
Myrsine melanophloeos,species,"[('Rapanea melanophloeos', 'Myrsine melanophloeos', 'species'), ('Rapanea seychellarum', 'Myrsine melanophloeos', 'species')]"
Nymphoides indica,species,"[('Nymphoides indica', 'species'), ('Nymphoides thunbergiana', 'Nymphoides indica', 'species')]"
