sbmSciName,iNatSciNameOrSynonym
Buchozia,Serissa
Jancaea,Jankaea
Acanthocalycium leucanthum,Echinopsis leucantha
Achnatherum virescens,Oryzopsis virescens
Aluta maisonneuviei,Thryptomene maisonneuvii
Androsace coccinea,Androsace bulleyana
Arctotis stochaedifolia,Arctotis grandis
Aspidistra parvifolium,Aspidosperma vargasii
Astragalus atropilosus,Astragalus venosus
Brochoneura usambarensis,Cephalosphaera usambarensis
Buchozia japonica,Serissa foetida
Ceropegia circinata,Brachystelma circinatum
Chamaecereus saltensis,Echinopsis saltensis
Cheiridopsis nana,Odontophorus nanus
Cochemiea mazatlensis,Mammillaria mazatlanensis
Coelogyne cobbiana,Dendrochilum cobbianum
Coelogyne glumacea,Dendrochilum glumaceum
Coelogyne wenzelii,Dendrochilum wenzelii
Cotoneaster matrensis,Cotoneaster alaunicus
Discospermum malaccense,Diplospora malaccensis
Dracaena longiflora,Sansevieria longiflora
Drymochloa drymeja,Festuca drymeja
Echium maculatum,Echium rubrum
Eustoma russelianum,Eustoma grandiflorum
Fagus sinensis,Fagus longipetiolata
Festuca danthonii,Vulpia ciliata
Haworthiopsis tesselata,Haworthia tessellata
Hydrocharis spongia,Limnobium spongia
Kadenicarpus pseudomacrochele,Turbinicarpus pseudomacrochele
Kuloa usambarensis,Ocotea usambarensis
Lardizabala funaria,Lardizabala biternata
Leptobalanus apetalus,Licania apetala
Leucopoa carpatica,Festuca carpatica
Lobivia bridgesii,Echinopsis bridgesii
Lobivia mamillosa,Echinopsis mamillosa
Lucuma bifera,Pouteria lucuma
Mesophaerum pectinatum,Hyptis pectinata
Myrsine melanophloeos,Rapanea melanophloeos
Noccaea iberidea,Aethionema iberideum
Parakeelya balonensis,Calandrinia balonensis
Pastinaca secacul,Malabaila secacul
Pelecyphora hesteri,Escobaria hesteri
Pelecyphora minima,Escobaria minima
Pelecyphora missiuriensis,Escobaria missouriensis
Pelecyphora sneedii,Escobaria sneedii
