rank,family_scientific,family_common,genus_scientific,genus_common,genushybrid_scientific,genushybrid_common,section_scientific,section_common,species_scientific,species_common,hybrid_scientific,hybrid_common,subspecies_hybrid_scientific,subspecies_hybrid_common,subspecies_scientific,subspecies_common,group_scientific,group_common,variety_scientific,variety_common,form_scientific,form_common,scientific_synonyms_sbm,slovak_synonyms_sbm,is_taxon_questionable
genus,Fabaceae,,Abarema,abaréma,,,,,,,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Abarema cochliacarpos,abaréma slimákovitoplodá,,,,,,,,,,,,,[],[],False
genus,Salicaceae,,Abatia,abačia,,,,,,,,,,,,,,,,,,,[],[],False
species,Salicaceae,,,,,,,,Abatia parviflora,abačia malokvetá,,,,,,,,,,,,,[],[],False
genus,Linnaeaceae,,Abelia,abélia,,,,,,,,,,,,,,,,,,,[],[],False
species,Linnaeaceae,,,,,,,,Abelia chinensis,abélia čínska,,,,,,,,,,,,,[],[],False
species,Linnaeaceae,,,,,,,,Abelia macrotera,abélia veľkolistá,,,,,,,,,,,,,['Abelia graebneriana'],[],False
species,Linnaeaceae,,,,,,,,Abelia uniflora,abélia jednokvetá,,,,,,,,,,,,,['Abelia engleriana'],[],False
hybrid,Linnaeaceae,,,,,,,,,,Abelia × grandiflora,abélia veľkokvetá,,,,,,,,,,,[],[],False
genus,Oleaceae,,Abeliophyllum,abéliovec,,,,,,,,,,,,,,,,,,,[],[],False
species,Oleaceae,,,,,,,,Abeliophyllum distichum,abéliovec dvojradový,,,,,,,,,,,,,[],[],False
genus,Malvaceae,,Abelmoschus,ibištek,,,,,,,,,,,,,,,,,,,[],[],False
species,Malvaceae,,,,,,,,Abelmoschus esculentus,ibištek jedlý,,,,,,,,,,,,,['Hibiscus esculentus'],[],False
species,Malvaceae,,,,,,,,Abelmoschus manihot,ibištek maniokový,,,,,,,,,,,,,[],[],False
species,Malvaceae,,,,,,,,Abelmoschus moschatus,ibištek pižmový,,,,,,,,,,,,,['Hibiscus abelmoschus'],[],False
genus,Pinaceae,,Abies,jedľa,,,,,,,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies alba,jedľa biela,,,,,,,,,,,,,"['Abies pardei', 'Abies pectinata', 'Pinus picea']",[],False
species,Pinaceae,,,,,,,,Abies amabilis,jedľa ľúbezná,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies balsamea,jedľa balzamová,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies borisii-regis,jedľa bulharská,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies bracteata,jedľa listenatá,,,,,,,,,,,,,['Abies venusta'],[],False
species,Pinaceae,,,,,,,,Abies cephalonica,jedľa grécka,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies chensiensis,jedľa šensijská,,,,,,,,,,,,,[],[],False
variety,Pinaceae,,,,,,,,,,,,,,,,,,Abies chensiensis ernestii,jedľa šensijská Ernestova,,,['Abies ernestii'],[],False
species,Pinaceae,,,,,,,,Abies cilicica,jedľa cilicijská,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies concolor,jedľa srienistá,,,,,,,,,,,,,"['Abies concolor f. violacea', 'Abies lowiana']",[],False
species,Pinaceae,,,,,,,,Abies delavayi,jedľa Delavayova,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies fabri,jedľa Faberova,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies fargesii,jedľa sečuánska,,,,,,,,,,,,,[],[],False
variety,Pinaceae,,,,,,,,,,,,,,,,,,Abies fargesii fargesii,jedľa sečuánska pravá,,,['Abies sutchuenensis'],[],False
variety,Pinaceae,,,,,,,,,,,,,,,,,,Abies fargesii faxoniana,jedľa sečuánska Faxonova,,,['Abies faxoniana'],[],False
species,Pinaceae,,,,,,,,Abies firma,jedľa pevná,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies forrestii,jedľa Forrestova,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies fraseri,jedľa Fraserova,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies gamblei,jedľa Gambleova,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies georgei,jedľa Georgeova,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies grandis,jedľa obrovská,,,,,,,,,,,,,['Abies excelsior'],[],False
species,Pinaceae,,,,,,,,Abies guatemalensis,jedľa guatemalská,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies holophylla,jedľa ihlicovitá,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies homolepis,jedľa nikkóska,,,,,,,,,,,,,[],[],False
variety,Pinaceae,,,,,,,,,,,,,,,,,,Abies homolepis umbellata,jedľa nikkóska pupkatá,,,['Abies umbilicata'],[],False
species,Pinaceae,,,,,,,,Abies kawakamii,jedľa taiwanská,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies koreana,jedľa kórejská,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies lasiocarpa,jedľa plstnatoplodá,,,,,,,,,,,,,[],[],False
variety,Pinaceae,,,,,,,,,,,,,,,,,,Abies lasiocarpa arizonica,jedľa plstnatoplodá arizonská,,,['Abies arizonica'],[],False
species,Pinaceae,,,,,,,,Abies magnifica,jedľa nádherná,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies mariesii,jedľa Mariesova,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies marocana,jedľa marocká,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies nebrodensis,jedľa nebrodská,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies nephrolepis,jedľa mandžuská,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies nordmanniana,jedľa Nordmannova,,,,,,,,,,,,,[],[],False
subspecies,Pinaceae,,,,,,,,,,,,,,Abies nordmanniana nordmanniana,jedľa Nordmannova pravá,,,,,,,[],[],False
subspecies,Pinaceae,,,,,,,,,,,,,,Abies nordmanniana equi-trojani,jedľa Nordmannova trójska,,,,,,,"['Abies bornmuelleriana', 'Abies equi-trojani']",[],False
species,Pinaceae,,,,,,,,Abies numidica,jedľa numídska,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies pindrow,jedľa západohimalájska,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies pinsapo,jedľa španielska,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies procera,jedľa vznešená,,,,,,,,,,,,,['Abies nobilis'],[],False
species,Pinaceae,,,,,,,,Abies recurvata,jedľa krivolistá,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies religiosa,jedľa posvätná,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies sachalinensis,jedľa sachalinská,,,,,,,,,,,,,[],[],False
variety,Pinaceae,,,,,,,,,,,,,,,,,,Abies sachalinensis gracilis,jedľa sachalinská štíhla,,,['Abies gracilis'],[],False
variety,Pinaceae,,,,,,,,,,,,,,,,,,Abies sachalinensis nemorensis,jedľa sachalinská hájna,,,['Abies wilsonii'],[],False
species,Pinaceae,,,,,,,,Abies sibirica,jedľa sibírska,,,,,,,,,,,,,[],[],False
subspecies,Pinaceae,,,,,,,,,,,,,,Abies sibirica semenovii,jedľa sibírska Semenovova,,,,,,,['Abies semenovii'],[],False
species,Pinaceae,,,,,,,,Abies spectabilis,jedľa himalájska,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies squamata,jedľa šupinatá,,,,,,,,,,,,,[],[],False
species,Pinaceae,,,,,,,,Abies veitchii,jedľa Veitchova,,,,,,,,,,,,,[],[],False
hybrid,Pinaceae,,,,,,,,,,Abies × insignis,jedľa význačná,,,,,,,,,,,[],[],False
hybrid,Pinaceae,,,,,,,,,,Abies × vilmorinii,jedľa Vilmorinova,,,,,,,,,,,[],[],False
genus,Cucurbitaceae,,Abobra,abobra,,,,,,,,,,,,,,,,,,,[],[],False
species,Cucurbitaceae,,,,,,,,Abobra tenuifolia,abobra tenkolistá,,,,,,,,,,,,,[],[],False
genus,Anacardiaceae,,Abrahamia,abrahámia,,,,,,,,,,,,,,,,,,,[],[],False
species,Anacardiaceae,,,,,,,,Abrahamia sericea,abrahámia hodvábna,,,,,,,,,,,,,[],[],False
genus,Malvaceae,,Abroma,abroma,,,,,,,,,,,,,,,,,,,[],[],False
species,Malvaceae,,,,,,,,Abroma augusta,abroma majestátna,,,,,,,,,,,,,[],[],False
genus,Nyctaginaceae,,Abronia,abrónia,,,,,,,,,,,,,,,,,,,[],[],False
species,Nyctaginaceae,,,,,,,,Abronia fragrans,abrónia voňavá,,,,,,,,,,,,,[],[],False
species,Nyctaginaceae,,,,,,,,Abronia umbellata,abrónia okolíkatá,,,,,,,,,,,,,[],[],False
species,Nyctaginaceae,,,,,,,,Abronia villosa,abrónia huňatá,,,,,,,,,,,,,[],[],False
genus,Rousseaceae,,Abrophyllum,pôvabník,,,,,,,,,,,,,,,,,,,[],[],False
species,Rousseaceae,,,,,,,,Abrophyllum ornans,pôvabník ozdobný,,,,,,,,,,,,,[],[],False
genus,Asteraceae,,Abrotanella,abrotanka,,,,,,,,,,,,,,,,,,,[],[],False
species,Asteraceae,,,,,,,,Abrotanella linearis,abrotanka čiarkovitá,,,,,,,,,,,,,[],[],False
genus,Fabaceae,,Abrus,ružencovec,,,,,,,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Abrus precatorius,ružencovec obyčajný,,,,,,,,,,,,,[],[],False
genus,Menispermaceae,,Abuta,abuta,,,,,,,,,,,,,,,,,,,[],[],False
species,Menispermaceae,,,,,,,,Abuta grandifolia,abuta veľkolistá,,,,,,,,,,,,,[],[],False
genus,Malvaceae,,Abutilon,podslnečník,,,,,,,,,,,,,,,,,,,['Bastardiopsis'],[],False
species,Malvaceae,,,,,,,,Abutilon densiflorum,podslnečník hustokvetý,,,,,,,,,,,,,['Bastardiopsis densiflora'],[],False
species,Malvaceae,,,,,,,,Abutilon indicum,podslnečník indický,,,,,,,,,,,,,[],[],False
species,Malvaceae,,,,,,,,Abutilon leucopetalum,podslnečník bielokvetý,,,,,,,,,,,,,[],[],False
species,Malvaceae,,,,,,,,Abutilon theophrasti,podslnečník Theofrastov,,,,,,,,,,,,,"['Abutilon avicennae', 'Sida abutilon']",[],False
hybrid,Malvaceae,,,,,,,,,,Abutilon × hybridum,podslnečník hybridný,,,,,,,,,,,[],[],False
genus,Fabaceae,,Acacia,akácia,,,,,,,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia acuminata,akácia končistá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia alata,akácia krídlatá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia aneura,akácia bezžilová,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia argyraea,akácia strieborná,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia argyrophylla,akácia striebrolistá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia baileyana,akácia Baileyho,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia cambagei,akácia páchnuca,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia concurrens,akácia súbežnožilová,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia cyclops,akácia obrovská,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia dealbata,akácia zbelená,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia decurrens,akácia zbiehavá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia doratoxylon,akácia kopijová,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia fecunda,akácia plodivá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia flavipila,akácia žltochlpá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia floribunda,akácia kvetnatá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia heterophylla,akácia rôznolistá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia implexa,akácia posplietaná,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia insolita,akácia nezvyčajná,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia kempeana,akácia Kempeho,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia koa,akácia havajská,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia koaia,akácia koovitá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia latifolia,akácia širokolistá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia leiophylla,akácia hladkolistá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia longifolia,akácia dlholistá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia mearnsii,akácia Mearnsova,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia melanoxylon,akácia čiernodrevá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia montana,akácia horská,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia obliquinervia,akácia kosožilová,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia omalophylla,akácia plocholistá,,,,,,,,,,,,,['Acacia homalophylla'],[],False
species,Fabaceae,,,,,,,,Acacia paradoxa,akácia ozbrojená,,,,,,,,,,,,,['Acacia armata'],[],False
species,Fabaceae,,,,,,,,Acacia plectocarpa,akácia zvlnenoplodá,,,,,,,,,,,,,['Acacia numerosa'],['akácia početná'],False
species,Fabaceae,,,,,,,,Acacia pycnantha,akácia hustokvetá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia retinoides,akácia mnohokvetá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia saligna,akácia vŕbovitá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia stereophylla,akácia tuholistá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia suaveolens,akácia voňavá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia tetragonophylla,akácia štvorhranná,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia tindaleae,akácia Tindalova,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia trinervata,akácia trojžilová,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia truncata,akácia uťatá,,,,,,,,,,,,,['Acacia decipiens'],[],False
species,Fabaceae,,,,,,,,Acacia verticillata,akácia praslenatá,,,,,,,,,,,,,[],[],False
genus,Fabaceae,,Acaciella,akaciela,,,,,,,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acaciella glauca,akaciela sivá,,,,,,,,,,,,,['Leucaena glauca'],[],False
genus,Rosaceae,,Acaena,acéna,,,,,,,,,,,,,,,,,,,[],[],False
species,Rosaceae,,,,,,,,Acaena argentea,acéna striebristá,,,,,,,,,,,,,[],[],False
species,Rosaceae,,,,,,,,Acaena buchananii,acéna Buchananova,,,,,,,,,,,,,[],[],False
species,Rosaceae,,,,,,,,Acaena cylindristachya,acéna valcovitá,,,,,,,,,,,,,[],[],False
species,Rosaceae,,,,,,,,Acaena magellanica,acéna magalhaeská,,,,,,,,,,,,,[],[],False
species,Rosaceae,,,,,,,,Acaena microphylla,acéna drobnolistá,,,,,,,,,,,,,[],[],False
