scientificName,rank,scientificNameInInat
Amaranthus graecizans sylvestris,subspecies,Amaranthus graecizans silvestris
Consolida,genus,Consolida
Spiraea × vanhouttei,species,Spiraea × vanhouttei
Rubus sect. Rubus,section,Rubus
Betula pendula carelica,form,Betula pendula carelica
Allanblackia,genus,Allanblackia
Galeobdolon,genus,Galeobdolon
Comagaria rosea,genushybrid,× Comagaria rosea
Comagaria,genushybrid,× Comagaria
Epicattleya,genushybrid,× Epicattleya
Fatshedera lizei,genushybrid,× Fatshedera lizei
Fatshedera,genushybrid,× Fatshedera
Heucherella tiarelloides,genushybrid,× Heucherella tiarelloides
Heucherella,genushybrid,× Heucherella
Phyllosasa tranquillans,genushybrid,× Phyllosasa tranquillans
Phyllosasa,genushybrid,× Phyllosasa
Sorbopyrus auricularis,genushybrid,× Pyraria irregularis
Triticosecale rimpaui,genushybrid,× Triticosecale rimpaui
Triticosecale,genushybrid,× Triticosecale
Apium graveolens Dulce,group,Apium graveolens dulce
Apium graveolens Rapaceum,group,Apium graveolens rapaceum
Apium graveolens Secalinum,group,Apium graveolens secalinum
Beta vulgaris Cicla,group,Beta vulgaris cicla
Brassica rapa Pekinensis,group,Brassica rapa pekinensis
Brassica rapa Perviridis,group,Brassica rapa perviridis
Foeniculum vulgare Azoricum,group,Foeniculum vulgare azoricum
Foeniculum vulgare Dulce,group,Foeniculum vulgare dulce
Foeniculum vulgare Vulgare,group,Foeniculum vulgare vulgare
Hordeum vulgare Distichon,group,Hordeum vulgare distichon
Petroselinum crispum Crispum,group,Petroselinum crispum crispum
Triticum aestivum Aestivum,group,Triticum aestivum aestivum
Triticum aestivum Macha,group,Triticum aestivum macha
Triticum aestivum Spelta,group,Triticum aestivum spelta
Triticum turgidum Durum,group,Triticum turgidum durum
Triticum turgidum Polonicum,group,Triticum turgidum polonicum
Aliceara,hybrid,× Aliceara
Allium × proliferum,hybrid,Allium proliferum
Berberis × media,hybrid,Berberis media
Centaurea × melanocalathia,hybrid,Centaurea phrygia melanocalathia
Citrus × paradisi,hybrid,Citrus × aurantium aurantium
Eryngium × tripartitum,hybrid,Eryngium tripartitum
Gladiolus × byzantinus,hybrid,Gladiolus communis byzantinus
Gladiolus × lewisiae,hybrid,Gladiolus caryophyllaceus × tristis
Hosta × undulata,hybrid,Hosta undulata
Malus × dasyphylla,hybrid,Malus dasyphylla
Malus × scheideckeri,hybrid,Pyrus pulcherrima scheideckeri
Mandevilla × amabilis,hybrid,Mandevilla amabilis
Philadelphus × falconeri,hybrid,Philadelphus falconeri
Pilosella × fuscoatra,hybrid,Pilosella fuscoatra
Poa × nobilis,hybrid,Poa nobilis
Prunus × blireana,hybrid,Prunus blireana
Robinia × margarettae,hybrid,Robinia × margaretta
Sorbus × ambigua,hybrid,Majovskya ambigua
Sorbus × decipiens,hybrid,Karpatiosorbus hybrida
Sorghum × drummondii,hybrid,Sorghum bicolor × drummondii
Spiraea × bumalda,hybrid,Spiraea japonica japonica
Spiraea × multiflora,hybrid,Spiraea multiflora
Spiraea × schinabeckii,hybrid,Spiraea schinabeckii
Staphylea × elegans,hybrid,Staphylea elegans
Symphoricarpos × doorenbosii,hybrid,Symphoricarpos doorenbosii
Syringa × hyacinthiflora,hybrid,Syringa hyacinthiflora
Tradescantia × andersoniana,hybrid,Tradescantia virginiana
Taraxacum sect. Erythrosperma,section,Erythrosperma
Taraxacum sect. Hamata,section,Hamata
Abies borisii-regis,species,Abies × borisii-regis
Abies fabri,species,Abies delavayi fabri
Abies georgei,species,Abies forrestii georgei
Aconitum corsicum,species,Aconitum napellus corsicum
Amaranthus bouchonii,species,Amaranthus hybridus hybridus
Amsinckia micrantha,species,Amsinckia menziesii menziesii
Atriplex calotheca,species,Atriplex prostrata calotheca
Beta maritima,species,Beta vulgaris maritima
Betula albosinensis,species,Betula utilis albosinensis
Bryonia dioica,species,Bryonia cretica dioica
Calophyllum antillanum,species,Calophyllum brasiliense antillanum
Calystegia pulchra,species,Calystegia × pulchra
Campanula gelida,species,Campanula bohemica gelida
Carlina onopordifolia,species,Carlina acanthifolia utzka
Centaurea indurata,species,Centaurea phrygia indurata
Centaurea stenolepis,species,Centaurea phrygia stenolepis
Cerastium lucorum,species,Cerastium fontanum lucorum
Cerastium tenoreanum,species,Cerastium brachypetalum tenoreanum
Colymbada alpestris,species,Centaurea scabiosa alpestris
Echinochloa frumentacea,species,Echinochloa colona edulis
Eleusine africana,species,Eleusine coracana africana
Empetrum hermaphroditum,species,Empetrum nigrum hermaphroditum
Epipactis distans,species,Epipactis helleborine orbicularis
Epipactis futakii,species,Epipactis leptochila leptochila
Epipactis voethii,species,Epipactis helleborine helleborine
Erigeron muralis,species,Erigeron acris serotinus
Erysimum cheiri,species,Erysimum × cheiri
Exochorda giraldii,species,Exochorda racemosa giraldii
Gagea pomeranica,species,Gagea × pomeranica
Galium wirtgenii,species,Galium verum wirtgenii
Gentiana orbicularis,species,Gentiana brachyphylla favratii
Gentianella fatrae,species,Gentianella austriaca fatrae
Hibiscus rosa-sinensis,species,Hibiscus × rosa-sinensis
Hieracium albinum,species,Hieracium umbrosum albinum
Hieracium ammobium,species,Hieracium bifidum psammogenes
Hieracium conicum,species,Hieracium crocatum conicum
Hieracium engleri,species,Hieracium carpathicum engleri
Hieracium glanduliferum,species,Hieracium piliferum glanduliferum
Hieracium silesiacum,species,Hieracium sparsum silesiacum
Hieracium stygium,species,Hieracium chlorocephalum stygium
Hordeum geniculatum,species,Hordeum marinum gussoneanum
Hymenopus  macrophyllus,species,Hymenopus macrophyllus
Hypericum dubium,species,Hypericum maculatum obtusiusculum
Lithops bella,species,Lithops karasmontana bella
Lonicera nitida,species,Lonicera ligustrina yunnanensis
Lonicera pileata,species,Lonicera ligustrina pileata
Lycopodium oellgaardii,species,Diphasiastrum × oellgaardii
Lycopodium zeilleri,species,Diphasiastrum × zeilleri
Monotropa hypophegea,species,Monotropa hypopitys hypophegea
Myosotis cespitosa,species,Myosotis laxa cespitosa
Myrceugenia  exsucca,species,Myrceugenia exsucca
Oenothera fallax,species,Oenothera × fallax
Olearia macrodonta,species,Olearia × macrodonta
Papaver corona-sancti-stephani,species,Oreomecon alpina corona-sancti-stephani
Papaver kerneri,species,Oreomecon alpina kerneri
Passiflora mollissima,species,Passiflora tripartita mollissima
Phelipanche bohemica,species,Phelipanche purpurea bohemica
Pilosella bifurca,species,Pilosella × bifurca
Plantago uliginosa,species,Plantago major intermedia
Populus koreana,species,Populus suaveolens suaveolens
Primula beesiana,species,Primula bulleyana beesiana
Prunus subhirtella,species,Prunus × subhirtella
Pseudobombax  septenatum,species,Pseudobombax septenatum
Ranunculus polyanthemoides,species,Ranunculus polyanthemos polyanthemoides
Raphanus sativus,species,Raphanus raphanistrum sativus
Rubus fruticosus agg.,species,Rubus
Saccharum sinense,species,Saccharum × sinense
Salix glaucosericea,species,Salix glauca villosa
Scleranthus polycarpos,species,Scleranthus annuus polycarpos
Senecio germanicus,species,Senecio nemorensis jacquinianus
Sorghum arundinaceum,species,Sorghum bicolor verticilliflorum
Symphoricarpos hesperius,species,Symphoricarpos mollis hesperius
Symphytum tanaicense,species,Symphytum officinale uliginosum
Viburnum trilobum,species,Viburnum opulus americanum
Urtica galeopsifolia,species,Urtica dioica pubescens
Utricularia ochroleuca,species,Utricularia × ochroleuca
Vaccinium gaultherioides,species,Vaccinium uliginosum microphyllum
Veronica jacquinii,species,Veronica austriaca jacquinii
Veronica vindobonensis,species,Veronica chamaedrys vindobonensis
Viola × contempta bohemica,subspecies_hybrid,Viola × contempta bohemica
Acer tataricum ginnala,subspecies,Acer ginnala
