rank,order_scientific,order_common,infraorder_scientific,infraorder_common,superfamily_scientific,superfamily_common,family_scientific,family_common,genus_scientific,genus_common,species_scientific,species_common
order,collembola,chvostoskoky,,,,,,,,,,
infraorder,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,,,,,,
family,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,poduridae,chvostoskokovité,,,,
genus,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,poduridae,chvostoskokovité,podura,chvostoskok,,
species,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,poduridae,chvostoskokovité,podura,chvostoskok,podura aquatica,chvostoskok vodný
family,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,hypogastruridae,,,,,
genus,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,hypogastruridae,,hypogastrura,chvostoskok,,
species,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,hypogastruridae,,hypogastrura,chvostoskok,hypogastrura armata,chvostoskok pivničný
species,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,hypogastruridae,,hypogastrura,chvostoskok,hypogastrura tatrica,chvostoskok vrchovský
family,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,onychiuridae,,,,,
genus,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,onychiuridae,,onychiurus,chvostoskok,,
species,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,onychiuridae,,onychiurus,chvostoskok,onychiurus armatus,chvostoskok larvičkový
genus,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,onychiuridae,,tetrodontophora,chvostoskok,,
species,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,onychiuridae,,tetrodontophora,chvostoskok,tetrodontophora bielanensis,chvostoskok obrovský
family,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,isotomidae,,,,,
genus,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,isotomidae,,isotoma,chvostoskok,,
species,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,isotomidae,,isotoma,chvostoskok,isotoma viridis,chvostoskok zelenkastý
family,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,entomobryidae,,,,,
genus,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,entomobryidae,,entomobrya,chvostoskok,,
species,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,entomobryidae,,entomobrya,chvostoskok,entomobrya nivalis,chvostoskok snežný
genus,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,entomobryidae,,orchesella,chvostoskok,,
species,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,entomobryidae,,orchesella,chvostoskok,orchesella alticola,chvostoskok chlpatý
family,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,tomoceridae,,,,,
genus,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,tomoceridae,,tomocerus,chvostoskok,,
species,collembola,chvostoskoky,arthropleona,voľnočlnkovce,,,tomoceridae,,tomocerus,chvostoskok,tomocerus longicornis,chvostoskok dlhotykadlový
infraorder,collembola,chvostoskoky,symphypleona,zrastenočlánkovce,,,,,,,,
family,collembola,chvostoskoky,symphypleona,zrastenočlánkovce,,,sminthuridae,,,,,
genus,collembola,chvostoskoky,symphypleona,zrastenočlánkovce,,,sminthuridae,,sminthurides,chvostoskok,,
species,collembola,chvostoskoky,symphypleona,zrastenočlánkovce,,,sminthuridae,,sminthurides,chvostoskok,sminthurides aquaticus,chvostoskok pobrežný
genus,collembola,chvostoskoky,symphypleona,zrastenočlánkovce,,,sminthuridae,,bourletiella,chvostoskok,,
species,collembola,chvostoskoky,symphypleona,zrastenočlánkovce,,,sminthuridae,,bourletiella,chvostoskok,bourletiella lutea,chvostoskok žltý
genus,collembola,chvostoskoky,symphypleona,zrastenočlánkovce,,,sminthuridae,,sminthurus,chvostoskok,,
species,collembola,chvostoskoky,symphypleona,zrastenočlánkovce,,,sminthuridae,,sminthurus,chvostoskok,sminthurus viridis,chvostoskok pestrý
order,diplura,vidličiarky,,,,,,,,,,
infraorder,diplura,vidličiarky,campodeoidea,vidličiarky,,,,,,,,
family,diplura,vidličiarky,campodeoidea,vidličiarky,,,campodeidae,vidličiarkovité,,,,
genus,diplura,vidličiarky,campodeoidea,vidličiarky,,,campodeidae,vidličiarkovité,campodea,vidličiarka,,
species,diplura,vidličiarky,campodeoidea,vidličiarky,,,campodeidae,vidličiarkovité,campodea,vidličiarka,campodea fragilis,vidličiarka krehká
species,diplura,vidličiarky,campodeoidea,vidličiarky,,,campodeidae,vidličiarkovité,campodea,vidličiarka,campodea augens,vidličiarka karpatská
infraorder,diplura,vidličiarky,japygoidea,ucholakovky,,,,,,,,
family,diplura,vidličiarky,japygoidea,ucholakovky,,,japygidae,ucholakovkovité,,,,
genus,diplura,vidličiarky,japygoidea,ucholakovky,,,japygidae,ucholakovkovité,catajapyx,ucholakovka,,
species,diplura,vidličiarky,japygoidea,ucholakovky,,,japygidae,ucholakovkovité,catajapyx,ucholakovka,catajapyx confusus,ucholakovka stepná
order,protura,šutky,,,,,,,,,,
family,protura,šutky,,,,,eosentomonidae,šutkovité,,,,
genus,protura,šutky,,,,,eosentomonidae,šutkovité,eosentomon,šutka,,
species,protura,šutky,,,,,eosentomonidae,šutkovité,eosentomon,šutka,eosentomon transitorium,šutka ozbrojená
family,protura,šutky,,,,,acerentomonidae,,,,,
genus,protura,šutky,,,,,acerentomonidae,,acerentomon,šutka,,
species,protura,šutky,,,,,acerentomonidae,,acerentomon,šutka,acerentomon doderoi,šutka pôdna
species,protura,šutky,,,,,acerentomonidae,,acerentomon,šutka,acerentomon dispar,šutka vrchovská
order,thysanura,švehly,,,,,,,,,,
family,thysanura,švehly,,,,,lepismatidae,švehlovité,,,,
genus,thysanura,švehly,,,,,lepismatidae,švehlovité,lepisma,švehla,,
species,thysanura,švehly,,,,,lepismatidae,švehlovité,lepisma,švehla,lepisma saccharina,švehla obyčajná
genus,thysanura,švehly,,,,,lepismatidae,švehlovité,thermobia,švehla,,
species,thysanura,švehly,,,,,lepismatidae,švehlovité,thermobia,švehla,thermobia domestica,švehla skleníková
genus,thysanura,švehly,,,,,lepismatidae,švehlovité,atelura,švehla,,
species,thysanura,švehly,,,,,lepismatidae,švehlovité,atelura,švehla,atelura formicaria,švehla mravenisková
family,thysanura,švehly,,,,,machilidae,upínavkovité,,,,
genus,thysanura,švehly,,,,,machilidae,upínavkovité,lepismachilis,upínavka,,
species,thysanura,švehly,,,,,machilidae,upínavkovité,lepismachilis,upínavka,lepismachilis notata,upínavka škvrnitá
order,ephemeroptera,podenky,,,,,,,,,,
family,ephemeroptera,podenky,,,,,siphlonuridae,,,,,
genus,ephemeroptera,podenky,,,,,siphlonuridae,,ameletus,podenka,,
species,ephemeroptera,podenky,,,,,siphlonuridae,,ameletus,podenka,ameletus inopinatus,podenka vrchovská
genus,ephemeroptera,podenky,,,,,siphlonuridae,,siphlonurus,podenka,,
species,ephemeroptera,podenky,,,,,siphlonuridae,,siphlonurus,podenka,siphlonurus lacustris,podenka jazerná
family,ephemeroptera,podenky,,,,,baëtidae,,,,,
genus,ephemeroptera,podenky,,,,,baëtidae,,baëtis,podenka,,
species,ephemeroptera,podenky,,,,,baëtidae,,baëtis,podenka,baëtis rhodani,podenka skorá
genus,ephemeroptera,podenky,,,,,baëtidae,,cloëon,podenka,,
species,ephemeroptera,podenky,,,,,baëtidae,,cloëon,podenka,cloëon dipterum,podenka dvojkrídla
family,ephemeroptera,podenky,,,,,oligoneurillidae,,,,,
genus,ephemeroptera,podenky,,,,,oligoneurillidae,,oligoneurilla,podenka,,
species,ephemeroptera,podenky,,,,,oligoneurillidae,,oligoneurilla,podenka,oligoneurilla rhenana,podenka hladkokrídla
family,ephemeroptera,podenky,,,,,arthropleidae,,,,,
genus,ephemeroptera,podenky,,,,,arthropleidae,,arthroplea,podenka,,
species,ephemeroptera,podenky,,,,,arthropleidae,,arthroplea,podenka,arthroplea congener,podenka pálková
family,ephemeroptera,podenky,,,,,heptageniidae,,,,,
genus,ephemeroptera,podenky,,,,,heptageniidae,,rhithrogena,podenka,,
species,ephemeroptera,podenky,,,,,heptageniidae,,rhithrogena,podenka,rhithrogena semicolorata,podenka bystrinná
species,ephemeroptera,podenky,,,,,heptageniidae,,rhithrogena,podenka,rhithrogena aurantiaca,podenka zlatistá
species,ephemeroptera,podenky,,,,,heptageniidae,,rhithrogena,podenka,rhithrogena tatrica,podenka vysokohorská
genus,ephemeroptera,podenky,,,,,heptageniidae,,epeorus,podenka,,
species,ephemeroptera,podenky,,,,,heptageniidae,,epeorus,podenka,epeorus assimilis,podenka kaskádová
genus,ephemeroptera,podenky,,,,,heptageniidae,,heptagenia,podenka,,
species,ephemeroptera,podenky,,,,,heptageniidae,,heptagenia,podenka,heptagenia sulphurea,podenka žltkastá
genus,ephemeroptera,podenky,,,,,heptageniidae,,ecdyonurus,podenka,,
species,ephemeroptera,podenky,,,,,heptageniidae,,ecdyonurus,podenka,ecdyonurus venosus,podenka potočná
family,ephemeroptera,podenky,,,,,ephemerellidae,,,,,
genus,ephemeroptera,podenky,,,,,ephemerellidae,,ephemerella,podenka,,
species,ephemeroptera,podenky,,,,,ephemerellidae,,ephemerella,podenka,ephemerella ignita,podenka letná
family,ephemeroptera,podenky,,,,,caenidae,,,,,
genus,ephemeroptera,podenky,,,,,caenidae,,caenis,podenka,,
species,ephemeroptera,podenky,,,,,caenidae,,caenis,podenka,caenis horaria,podenka drobná
family,ephemeroptera,podenky,,,,,leptophlebiidae,,,,,
genus,ephemeroptera,podenky,,,,,leptophlebiidae,,paraleptophlebia,podenka,,
species,ephemeroptera,podenky,,,,,leptophlebiidae,,paraleptophlebia,podenka,paraleptophlebia submarginata,podenka jarná
genus,ephemeroptera,podenky,,,,,leptophlebiidae,,leptophlebia,podenka,,
species,ephemeroptera,podenky,,,,,leptophlebiidae,,leptophlebia,podenka,leptophlebia marginata,podenka hnedastá
family,ephemeroptera,podenky,,,,,palingeniidae,,,,,
genus,ephemeroptera,podenky,,,,,palingeniidae,,palingenia,podenka,,
species,ephemeroptera,podenky,,,,,palingeniidae,,palingenia,podenka,palingenia longicauda,podenka veľká
family,ephemeroptera,podenky,,,,,polymitarcidae,,,,,
genus,ephemeroptera,podenky,,,,,polymitarcidae,,ephoron,podenka,,
species,ephemeroptera,podenky,,,,,polymitarcidae,,ephoron,podenka,ephoron virgo,podenka nížinná
family,ephemeroptera,podenky,,,,,ephemeridae,,,,,
genus,ephemeroptera,podenky,,,,,ephemeridae,,ephemera,podenka,,
species,ephemeroptera,podenky,,,,,ephemeridae,,ephemera,podenka,ephemera vulgata,podenka obyčajná
family,ephemeroptera,podenky,,,,,potamanthidae,,,,,
genus,ephemeroptera,podenky,,,,,potamanthidae,,potamanthus,podenka,,
species,ephemeroptera,podenky,,,,,potamanthidae,,potamanthus,podenka,potamanthus luteus,podenka žltá
order,odonata,vážky,,,,,,,,,,
infraorder,odonata,vážky,zygoptera,šidielka,,,,,,,,
family,odonata,vážky,zygoptera,šidielka,,,calopterygidae,hadovkovité,,,,
genus,odonata,vážky,zygoptera,šidielka,,,calopterygidae,hadovkovité,calopteryx,hadovka,,
species,odonata,vážky,zygoptera,šidielka,,,calopterygidae,hadovkovité,calopteryx,hadovka,calopteryx virgo,hadovka obyčajná
species,odonata,vážky,zygoptera,šidielka,,,calopterygidae,hadovkovité,calopteryx,hadovka,calopteryx splendens,hadovka lesklá
family,odonata,vážky,zygoptera,šidielka,,,lestidae,šidlovkovité,,,,
genus,odonata,vážky,zygoptera,šidielka,,,lestidae,šidlovkovité,lestes,šidlovka,,
species,odonata,vážky,zygoptera,šidielka,,,lestidae,šidlovkovité,lestes,šidlovka,lestes viridis,šidlovka zelená
species,odonata,vážky,zygoptera,šidielka,,,lestidae,šidlovkovité,lestes,šidlovka,lestes sponsa,šidlovka pásikavá
species,odonata,vážky,zygoptera,šidielka,,,lestidae,šidlovkovité,lestes,šidlovka,lestes dryas,šidlovka tmavá
genus,odonata,vážky,zygoptera,šidielka,,,lestidae,šidlovkovité,sympecma,šidlovka,,
species,odonata,vážky,zygoptera,šidielka,,,lestidae,šidlovkovité,sympecma,šidlovka,sympecma fusca,šidlovka hnedá
family,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,,,,
genus,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,platycnemis,šidielko,,
species,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,platycnemis,šidielko,platycnemis pennipes,šidielko ploskonohé
genus,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,pyrrhosoma,šidielko,,
species,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,pyrrhosoma,šidielko,pyrrhosoma nymphula,šidielko červené
genus,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,ischnura,šidielko,,
species,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,ischnura,šidielko,ischnura pumilio,šidielko menšie
species,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,ischnura,šidielko,ischnura elegans,šidielko väčšie
genus,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,enallagma,šidielko,,
species,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,enallagma,šidielko,enallagma cyathigerum,šidielko krúžkované
genus,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,agrion,šidielko,,
species,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,agrion,šidielko,agrion pulchellum,šidielko veľkoškvrnné
species,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,agrion,šidielko,agrion puella,šidielko obyčajné
species,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,agrion,šidielko,agrion ornatum,šidielko ozdobné
genus,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,erythromma,šidielko,,
species,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,erythromma,šidielko,erythromma najas,šidielko červenooké
species,odonata,vážky,zygoptera,šidielka,,,agrionidae,šidielkovité,erythromma,šidielko,erythromma viridulum,šidielko ixové
infraorder,odonata,vážky,anisoptera,šidlá,,,,,,,,
family,odonata,vážky,anisoptera,šidlá,,,aeschnidae,šidlovité,,,,
genus,odonata,vážky,anisoptera,šidlá,,,aeschnidae,šidlovité,brachytron,šidlo,,
species,odonata,vážky,anisoptera,šidlá,,,aeschnidae,šidlovité,brachytron,šidlo,brachytron hafniense,šidlo lúčne
genus,odonata,vážky,anisoptera,šidlá,,,aeschnidae,šidlovité,aeschna,šidlo,,
species,odonata,vážky,anisoptera,šidlá,,,aeschnidae,šidlovité,aeschna,šidlo,aeschna coerulea,šidlo belasé
species,odonata,vážky,anisoptera,šidlá,,,aeschnidae,šidlovité,aeschna,šidlo,aeschna grandis,šidlo veľké
