scientificName,rank,scientificNameInInat,rankInInat
anamaspis,genus,leucaspis,
aoromius,genus,tychius,
aphidula,genus,aphis,
baëtis,genus,baetis,
blastodere,genus,argyresthia,
blenocampa,genus,blennocampa,
brachyderus,genus,brachyderes,
buchneria,genus,cinara,
calligypona pellucida,species,javesella pellucida,
canaephora,genus,canephora,
cataremna terebrella,species,assara terebrella,
catoptilia,genus,caloptilia,
cerosipha,genus,aphis,
chloriona glaucens,species,chloriona glaucescens,
chrysophilus,genus,chrysopilus,
clossiana,genus,clossiana,subgenus
ctenophtalmus,genus,ctenophthalmus,
cynomiyia,genus,cynomya,
dasechaeta,genus,moma,
dreyfusia,genus,adelges,
eucaraphis,genus,euceraphis,
eupoecillia,genus,eupoecilia,
eupoecillia ambiguella,species,eupoecilia ambiguella,
euribia,genus,urophora,
eurytoma morio,species,,
eurytoma morio,species,eurytoma morio,
fabriciana,genus,fabriciana,subgenus
filipalpia,infraorder,plecoptera,order
gymnochaeta,genus,gymnocheta,
hylaus,genus,hylaeus,
hylemyia,genus,hylemya,
incurvaria capitella,species,lampronia capitella,
ischyrosyrphus,genus,ischyrosyrphus,subgenus
isoptera,order,termitoidae,epifamily
laspeyresia splendana,species,cydia splendana,
laspeyresia zebeana,species,cydia zebeana,
limnophilus,genus,limnephilus,
monoctemus,genus,monoctenus,
myrmecophila,genus,myrmecophilus,
mytilococcus,genus,lepidosaphes,
nannodynerus,genus,stenodynerus,
oligoneurilla,genus,oligoneuriella,
pachyceras,genus,roptrocerus,
phthorophloeus,genus,phloeotribus,
platypteryx,genus,drepana,
xylonites,genus,xylopertha,
tuberculoides,genus,tuberculatus,
timaspis papaveris,species,iraella luteipes,
taxonomus,genus,taxonus,
spilotana,genus,spilonota,
sitobium,genus,sitobion,
scoliantides,genus,scolitantides,
scolia flavifrons,species,regiscolia maculata ssp. flavifrons,
sciapteron,genus,paranthrene,
scatophagidae,family,scathophagidae,
rhabdofaga,genus,rabdophaga,
psysothrips salicis,species,mycterothrips salicis,
psysothrips,genus,mycterothrips,
polynema ovulorum,species,polynema gracile,
potamida ephippium,species,clitellaria ephippium,
prestwichia aquatica,species,prestwichia aquatica,
pseudotomoides strobilella,species,cydia strobilella,
cloëon,genus,cloeon,
aeschna,genus,aeshna,
ephippigera,genus,ephippiger,
gryllulus,genus,acheta,
