scientificName,rank
acrophylax vernalis,species
agromyza humuli,species
amatidae,family
arthropleona,infraorder
baliothrips dispar,species
callaphididae,family
ceratophyllus rusticus,species
chaetopsylla globiceps,species
citellophilus martinoi,species
contarinia humul,species
contarinia viticola,species
croesus,genus
damalinia longicornis,species
dizygomyza,genus
ephippigeridae,family
epicnoptera,genus
geoktapia,genus
glossina palpalis,species
grapholitha dorsana,species
helomyza,genus
hemipenthes circumdatus,species
heteroneura,infraorder
homoneura,infraorder
homorocoryphus,genus
hoplothrips pedicularis,species
iridothrips iridis,species
lathyrophthalmus,genus
liothrips setinodis,species
litomastix,genus
lonchaea viridana,species
malaraeus penicilliger,species
menopon pallens,species
micronematus,genus
mutilloidea,superfamily
myelophilus,genus
myzodes,genus
neopsylla setosa,species
ornithobius cygni,species
ortalis,genus
otiorrhynchus signatus,species
pales maculata,species
paradorydium lanceolatum,species
pelletieria,genus
pelletieria nigricornis,species
philopterus ocellatus,species
yezabura,genus
trogophloeus,species
timaspis papaveris,species
thrips linarius,species
tetheidae,family
sphecoidea,superfamily
sitobium granarium,species
simulium maculatum,species
simulium columbatschense,species
setipalpia,infraorder
sciara modesta,species
schizophthirus pleurophaeus,species
sappaphis,genus
sacchiphantes,genus
pyrethromyzus,genus
porricondyla cerealis,species
pseudoclerops,genus
byrsocrypta,genus
stagona,genus
euprepia,genus
