rank,order_scientific,order_common,family_scientific,family_common,subfamily_scientific,subfamily_common,genus_scientific,genus_common,species_scientific,species_common
order,Struthioniformes,bežce a tinamy,,,,,,,,
family,Struthioniformes,bežce a tinamy,Struthionidae,pštrosovité,,,,,,
genus,Struthioniformes,bežce a tinamy,Struthionidae,pštrosovité,,,Struthio,pštros,,
species,Struthioniformes,bežce a tinamy,Struthionidae,pštrosovité,,,Struthio,pštros,Struthio camelus,pštros dvojprstý
species,Struthioniformes,bežce a tinamy,Struthionidae,pštrosovité,,,Struthio,pštros,Struthio molybdophanes,pštros sivonohý
family,Struthioniformes,bežce a tinamy,Rheidae,nanduovité,,,,,,
genus,Struthioniformes,bežce a tinamy,Rheidae,nanduovité,,,Rhea,nandu,,
species,Struthioniformes,bežce a tinamy,Rheidae,nanduovité,,,Rhea,nandu,Rhea americana,nandu pampový
species,Struthioniformes,bežce a tinamy,Rheidae,nanduovité,,,Rhea,nandu,Rhea pennata,nandu škvrnitý
species,Struthioniformes,bežce a tinamy,Rheidae,nanduovité,,,Rhea,nandu,Rhea tarapacensis,nandu andský
family,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,,,,,,
subfamily,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Dromaiinae,emuorodé,,,,
genus,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Dromaiinae,emuorodé,Dromaius,emu,,
species,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Dromaiinae,emuorodé,Dromaius,emu,Dromaius novaehollandiae,emu hnedý
species,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Dromaiinae,emuorodé,Dromaius,emu,Dromaius minor,emu tmavý
species,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Dromaiinae,emuorodé,Dromaius,emu,Dromaius baudinianus,emu malý
subfamily,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Casuariinae,kazuárorodé,,,,
genus,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Casuariinae,kazuárorodé,Casuarius,kazuár,,
species,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Casuariinae,kazuárorodé,Casuarius,kazuár,Casuarius casuarius,kazuár veľkoprilbý
species,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Casuariinae,kazuárorodé,Casuarius,kazuár,Casuarius bennetti,kazuár muruk
species,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Casuariinae,kazuárorodé,Casuarius,kazuár,Casuarius unappendiculatus,kazuár džungľový
family,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,,,,
genus,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,Apteryx,kivi,,
species,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,Apteryx,kivi,Apteryx owenii,kivi pásikavý
species,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,Apteryx,kivi,Apteryx haastii,kivi kráľovský
species,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,Apteryx,kivi,Apteryx australis,kivi južný
species,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,Apteryx,kivi,Apteryx mantelli,kivi hnedý
species,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,Apteryx,kivi,Apteryx rowi,kivi hodvábny
family,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,,,,,,
subfamily,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,,,,
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Eudromia,inambu,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Eudromia,inambu,Eudromia elegans,inambu chochlatý
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Eudromia,inambu,Eudromia formosa,inambu hájový
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Tinamotis,inambu,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Tinamotis,inambu,Tinamotis pentlandii,inambu veľký
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Tinamotis,inambu,Tinamotis ingoufi,inambu stepný
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Rhynchotus,inambu,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Rhynchotus,inambu,Rhynchotus rufescens,inambu vlnkovaný
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Rhynchotus,inambu,Rhynchotus maculicollis,inambu horský
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,Nothoprocta taczanowskii,inambu pasienkový
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,Nothoprocta ornata,inambu ozdobný
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,Nothoprocta perdicaria,inambu poľný
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,Nothoprocta cinerascens,inambu krovinový
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,Nothoprocta pentlandii,inambu andský
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,Nothoprocta curvirostris,inambu krivozobý
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Taoniscus,inambu,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Taoniscus,inambu,Taoniscus nanus,inambu krpatý
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothura,inambu,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothura,inambu,Nothura boraquira,inambu svetlobruchý
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothura,inambu,Nothura minor,inambu malý
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothura,inambu,Nothura darwinii,inambu pustatinný
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothura,inambu,Nothura maculosa,inambu čiarkový
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothura,inambu,Nothura chacoensis,inambu škvrnitý
subfamily,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,,,,
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Nothocercus,tinama,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Nothocercus,tinama,Nothocercus julius,tinama pralesná
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Nothocercus,tinama,Nothocercus bonapartei,tinama horská
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Nothocercus,tinama,Nothocercus nigrocapillus,tinama kapucňová
