rank,superfamily_scientific,family_scientific,family_common,subfamily_scientific,genus_scientific,species_scientific,species_common
superfamily,micropterigoidea,,,,,,
family,micropterigoidea,micropterigidae,potočníkovcovité,,,,
genus,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,,
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix aruncella,potočníkovec machový
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix aureatella,potočníkovec hôrny
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix aureoviridella,potočníkovec zlatozelený
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix calthella,potočníkovec záružľový
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix mansuetella,potočníkovec jemný
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix myrtetella,potočníkovec malý
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix osthelderi,potočníkovec Osthelderov
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix tunbergella,potočníkovec Thunbergov
superfamily,eriocranioidea,,,,,,
family,eriocranioidea,eriocraniidae,prvomoľovité,,,,
genus,eriocranioidea,eriocraniidae,prvomoľovité,,dyseriocrania,,
species,eriocranioidea,eriocraniidae,prvomoľovité,,dyseriocrania,dyseriocrania subpurpurella,prvomoľa dubová
genus,eriocranioidea,eriocraniidae,prvomoľovité,,heringocrania,,
species,eriocranioidea,eriocraniidae,prvomoľovité,,heringocrania,heringocrania unimaculella,prvomoľa bieloškvrnná
genus,eriocranioidea,eriocraniidae,prvomoľovité,,eriocrania,,
species,eriocranioidea,eriocraniidae,prvomoľovité,,eriocrania,eriocrania sparrmannella,prvomoľa Sparrmannova
species,eriocranioidea,eriocraniidae,prvomoľovité,,eriocrania,eriocrania cicatricella,prvomoľa brezová
species,eriocranioidea,eriocraniidae,prvomoľovité,,eriocrania,eriocrania sangii,prvomoľa Sangova
species,eriocranioidea,eriocraniidae,prvomoľovité,,eriocrania,eriocrania semipurpurella,prvomoľa purpurová
superfamily,hepialoidea,,,,,,
family,hepialoidea,hepialidae,hrotokrídlovcovité,,,,
genus,hepialoidea,hepialidae,hrotokrídlovcovité,,triodia,,
species,hepialoidea,hepialidae,hrotokrídlovcovité,,triodia,triodia sylvina,hrotokrídlovec šalátový
genus,hepialoidea,hepialidae,hrotokrídlovcovité,,korscheltellus,,
species,hepialoidea,hepialidae,hrotokrídlovcovité,,korscheltellus,korscheltellus fusconebulosa,hrotokrídlovec orličníkový
species,hepialoidea,hepialidae,hrotokrídlovcovité,,korscheltellus,korscheltellus lupulina,hrotokrídlovec záhradný
genus,hepialoidea,hepialidae,hrotokrídlovcovité,,pharmacis,,
species,hepialoidea,hepialidae,hrotokrídlovcovité,,pharmacis,pharmacis carna,hrotokrídlovec horský
genus,hepialoidea,hepialidae,hrotokrídlovcovité,,phymatopus,,
